city,datetime,temp,humidity,pressure,rain_3h,weather,weather_desc
Sylhet,2025-05-03 18:00:00,25.59,64,1007,0.0,Clouds,few clouds
Sylhet,2025-05-03 21:00:00,24.19,72,1006,0.18,Rain,light rain
Sylhet,2025-05-04 00:00:00,23.46,79,1007,0.35,Rain,light rain
Sylhet,2025-05-04 03:00:00,28.78,60,1009,0.0,Clear,clear sky
Sylhet,2025-05-04 06:00:00,33.32,44,1007,0.0,Clear,clear sky
Sylhet,2025-05-04 09:00:00,35.47,33,1003,0.0,Clear,clear sky
Sylhet,2025-05-04 12:00:00,31.45,48,1003,0.0,Clear,clear sky
Sylhet,2025-05-04 15:00:00,28.17,55,1006,0.13,Rain,light rain
Sylhet,2025-05-04 18:00:00,25.22,70,1007,1.25,Rain,light rain
Sylhet,2025-05-04 21:00:00,24.26,76,1006,0.62,Rain,light rain
Sylhet,2025-05-05 00:00:00,23.0,86,1008,2.57,Rain,light rain
Sylhet,2025-05-05 03:00:00,28.08,67,1009,0.36,Rain,light rain
Sylhet,2025-05-05 06:00:00,33.4,48,1007,0.0,Clear,clear sky
Sylhet,2025-05-05 09:00:00,35.42,39,1003,0.0,Clear,clear sky
Barisal,2025-05-03 12:00:00,29.62,58,1006,0.24,Rain,light rain
Barisal,2025-05-03 15:00:00,27.89,66,1007,0.0,Clouds,broken clouds
Barisal,2025-05-03 18:00:00,25.56,78,1007,0.0,Clouds,scattered clouds
Barisal,2025-05-03 21:00:00,25.28,84,1006,0.12,Rain,light rain
Barisal,2025-05-04 00:00:00,25.58,83,1007,0.26,Rain,light rain
Barisal,2025-05-04 03:00:00,30.68,56,1008,0.2,Rain,light rain
Barisal,2025-05-04 06:00:00,34.5,41,1007,0.0,Clouds,scattered clouds
Barisal,2025-05-04 09:00:00,30.62,57,1004,0.0,Clouds,broken clouds
Barisal,2025-05-04 12:00:00,29.3,63,1004,0.0,Clouds,broken clouds
Barisal,2025-05-04 15:00:00,27.77,71,1006,0.0,Clouds,few clouds
Barisal,2025-05-04 18:00:00,26.72,80,1006,0.0,Clear,clear sky
Barisal,2025-05-04 21:00:00,25.67,86,1006,0.29,Rain,light rain
Barisal,2025-05-05 00:00:00,25.56,88,1007,0.56,Rain,light rain
Barisal,2025-05-05 03:00:00,31.47,61,1008,0.0,Clouds,few clouds
Barisal,2025-05-05 06:00:00,35.54,42,1007,0.0,Clear,clear sky
Barisal,2025-05-05 09:00:00,34.28,49,1003,0.0,Clouds,scattered clouds
Rangpur,2025-05-03 12:00:00,35.2,31,1004,0.0,Clear,clear sky
Rangpur,2025-05-03 15:00:00,32.33,37,1005,0.0,Clouds,few clouds
Rangpur,2025-05-03 18:00:00,28.07,48,1006,0.0,Clouds,few clouds
Rangpur,2025-05-03 21:00:00,27.51,61,1005,0.0,Clouds,scattered clouds
Rangpur,2025-05-04 00:00:00,25.13,77,1006,2.61,Rain,light rain
Rangpur,2025-05-04 03:00:00,31.27,53,1008,0.12,Rain,light rain
Rangpur,2025-05-04 06:00:00,34.89,38,1005,0.0,Clouds,scattered clouds
Rangpur,2025-05-04 09:00:00,28.65,63,1003,2.95,Rain,light rain
Rangpur,2025-05-04 12:00:00,24.33,82,1004,3.31,Rain,moderate rain
Rangpur,2025-05-04 15:00:00,24.7,80,1006,0.81,Rain,light rain
Rangpur,2025-05-04 18:00:00,24.09,86,1006,0.0,Clouds,broken clouds
Rangpur,2025-05-04 21:00:00,23.29,87,1006,1.54,Rain,light rain
Rangpur,2025-05-05 00:00:00,23.34,87,1006,0.56,Rain,light rain
Rangpur,2025-05-05 03:00:00,28.85,65,1008,0.64,Rain,light rain
Rangpur,2025-05-05 06:00:00,33.64,48,1007,0.0,Clear,clear sky
Rangpur,2025-05-05 09:00:00,33.9,46,1002,0.0,Clouds,broken clouds
