DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2012-0382-BGD,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Barisal, Bhola, Patuakhali districts (Barisal province), Dhaka, Faridpur, Jamalpur, Madaripur, Manikganj, Rajbari, Shariatpur, Tangail districts (Dhaka province), Bogra, Pabna, Sirajganj districts (Rajshahi province), Gaibandha, Kurigram districts (Rangpur province)",,,No,No,No,,,Km2,,,,2012,9,21,2012,9,28,,,250000,,250000,,,,,,,75.3503857,"[{""adm2_code"":5762,""adm2_name"":""Barisal""},{""adm2_code"":5763,""adm2_name"":""Bhola""},{""adm2_code"":5765,""adm2_name"":""Patuakhali""},{""adm2_code"":5778,""adm2_name"":""Dhaka""},{""adm2_code"":5779,""adm2_name"":""Faridpur""},{""adm2_code"":5782,""adm2_name"":""Jamalpur""},{""adm2_code"":5784,""adm2_name"":""Madaripur""},{""adm2_code"":5785,""adm2_name"":""Manikganj""},{""adm2_code"":5791,""adm2_name"":""Rajbari""},{""adm2_code"":5792,""adm2_name"":""Shariatpur""},{""adm2_code"":5794,""adm2_name"":""Tangail""},{""adm2_code"":5805,""adm2_name"":""Bogra""},{""adm2_code"":5815,""adm2_name"":""Pabna""},{""adm2_code"":5819,""adm2_name"":""Sirajganj""},{""adm2_code"":5807,""adm2_name"":""Gaibandha""},{""adm2_code"":5809,""adm2_name"":""Kurigram""}]",2013-02-06,2023-09-25
2014-0290-BGD,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:FL-2014-000117,,BGD,Bangladesh,Southern Asia,Asia,"Lalmonirhat, Kurigram, Nilphamari, Rangpur, Gaibandha districts (Rangpur province), Bogra, Sirajganj districts (Rajshahi province), Sunamganj, Sylhet districts (Sylhet province), Sherpur, Netrakona, Munshiganj, Jamalpur, Tangail, Faridpur, Manikganj, Rajbari districts (Dhaka province), Bhola, Patuakhali, Barguna districts (Barisal province), Feni, Chittagong districts (Chittagong province)",Heavy rains,Broken Dam/Burst bank,No,No,No,,,Km2,,,Ganges river,2014,8,11,2014,9,10,59,447,2800000,,2800447,,,,,160000,205935,77.69440613,"[{""adm2_code"":5761,""adm2_name"":""Barguna""},{""adm2_code"":5763,""adm2_name"":""Bhola""},{""adm2_code"":5765,""adm2_name"":""Patuakhali""},{""adm2_code"":5770,""adm2_name"":""Chittagong""},{""adm2_code"":5773,""adm2_name"":""Feni""},{""adm2_code"":5779,""adm2_name"":""Faridpur""},{""adm2_code"":5782,""adm2_name"":""Jamalpur""},{""adm2_code"":5785,""adm2_name"":""Manikganj""},{""adm2_code"":5786,""adm2_name"":""Munshiganj""},{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5791,""adm2_name"":""Rajbari""},{""adm2_code"":5793,""adm2_name"":""Sherpur""},{""adm2_code"":5794,""adm2_name"":""Tangail""},{""adm2_code"":5823,""adm2_name"":""Sunamganj""},{""adm2_code"":5824,""adm2_name"":""Sylhet""},{""adm2_code"":5805,""adm2_name"":""Bogra""},{""adm2_code"":5819,""adm2_name"":""Sirajganj""},{""adm2_code"":5807,""adm2_name"":""Gaibandha""},{""adm2_code"":5809,""adm2_name"":""Kurigram""},{""adm2_code"":5810,""adm2_name"":""Lalmonirhat""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""},{""adm2_code"":5818,""adm2_name"":""Rangpur""}]",2014-09-03,2023-09-25
2014-0581-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BGD,Bangladesh,Southern Asia,Asia,"Bogra, Naogaon districts (Rajshahi province), Jamalpur, Mymensing, Netrokona districts (Dhaka province), Kurigram Lalmonirhat, Gaibandha districts (Rangpur province), Brahmanbaria district (Chittagong province)",,,No,No,No,,,Km2,,,,2014,9,,2014,9,,,,400000,,400000,,,,,,,77.69440613,"[{""adm2_code"":5768,""adm2_name"":""Brahamanbaria""},{""adm2_code"":5782,""adm2_name"":""Jamalpur""},{""adm2_code"":5787,""adm2_name"":""Mymensingh""},{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5805,""adm2_name"":""Bogra""},{""adm2_code"":5811,""adm2_name"":""Naogaon""},{""adm2_code"":5807,""adm2_name"":""Gaibandha""},{""adm2_code"":5809,""adm2_name"":""Kurigram""},{""adm2_code"":5810,""adm2_name"":""Lalmonirhat""}]",2016-02-05,2023-09-25
2015-0253-BGD,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:FL-2015-000068,,BGD,Bangladesh,Southern Asia,Asia,"Bandarban, Chittagong, Cox's Bazar districts (Chittagong province)",Excessive rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2015,6,23,2015,6,30,20,20651,1381250,,1401901,,,,,40000,51423,77.78656766,"[{""adm2_code"":5767,""adm2_name"":""Bandarban""},{""adm2_code"":5770,""adm2_name"":""Chittagong""},{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""}]",2015-07-15,2023-09-25
2015-0293-BGD,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Barisal district (Barisal province), Chittagong district (Chittagong province), Khulna district (Khulna province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2015,7,25,2015,7,27,11,,10000,,10000,,,,,,,77.78656766,"[{""adm2_code"":5762,""adm2_name"":""Barisal""},{""adm2_code"":5770,""adm2_name"":""Chittagong""},{""adm2_code"":5799,""adm2_name"":""Khulna""}]",2015-07-28,2024-10-25
2016-0288-BGD,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,DFO:4382|GLIDE:FL-2016-000075,,BGD,Bangladesh,Southern Asia,Asia,"Kurigram, Bogra, Sirajganj, Gaibandha, Tangail, Jamalpur, Nilphamari, Lalmonirhat, Sunamganj, Faridpur, Kustia,Madaripur, Manikganj, Rajbari, Rangpur, Sariatpur districts",Heavy rains,,No,No,No,,45667.11,Km2,24.095,90.04,,2016,7,19,2016,8,2,106,,1900000,,1900000,,,,,150000,190433,78.767923,"[{""adm2_code"":5779,""adm2_name"":""Faridpur""},{""adm2_code"":5782,""adm2_name"":""Jamalpur""},{""adm2_code"":5784,""adm2_name"":""Madaripur""},{""adm2_code"":5785,""adm2_name"":""Manikganj""},{""adm2_code"":5791,""adm2_name"":""Rajbari""},{""adm2_code"":5792,""adm2_name"":""Shariatpur""},{""adm2_code"":5794,""adm2_name"":""Tangail""},{""adm2_code"":5800,""adm2_name"":""Kushtia""},{""adm2_code"":5823,""adm2_name"":""Sunamganj""},{""adm2_code"":5805,""adm2_name"":""Bogra""},{""adm2_code"":5819,""adm2_name"":""Sirajganj""},{""adm2_code"":5807,""adm2_name"":""Gaibandha""},{""adm2_code"":5809,""adm2_name"":""Kurigram""},{""adm2_code"":5810,""adm2_name"":""Lalmonirhat""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""},{""adm2_code"":5818,""adm2_name"":""Rangpur""}]",2016-08-10,2023-09-25
2017-0138-BGD,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Netrokona, Kishoreganj, Itna (Kishoreganj), Mithamoin (Kishoreganj), Austagram (Kishoreganj), Habiganj, Karimganj (Kishoreganj), Sunamganj, Moulvibazar, Sylhet",Heavy rains,,No,No,No,,,Km2,,,"Dhaleshwari, Dhanu, Khowai, Kushiyara, Meghna",2017,3,28,2017,4,15,,,76725,9300,86025,,,,,128000,159113,80.44577926,"[{""adm2_code"":5783,""adm2_name"":""Kishoreganj""},{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5821,""adm2_name"":""Habiganj""},{""adm2_code"":5822,""adm2_name"":""Maulvibazar""},{""adm2_code"":5823,""adm2_name"":""Sunamganj""},{""adm2_code"":5824,""adm2_name"":""Sylhet""}]",2017-05-18,2023-09-25
2017-0342-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2017-000084,,BGD,Bangladesh,Southern Asia,Asia,"Dinajpur, Kurigram, Lalmonirhat, Nilphamari, Chapainawabganj, Moulvibazar, Jessore, Sylhet, Gaibandha, Sunamganj, Mymensingh, Thakurgaon, Jamalpur, Joypurhat, Naogaon, Panchagarh, Bogra, Tangail, Rangamati, Comilla, Dhaka, Faridpur, Madaripur, Brahamanbaria, Munshiganj, Natore, Sirajganj, Rangpur, Sherpur, Netrakona, Chandpur, Rajshahi",Late monsoon rains,,No,No,No,,,Km2,,,"Brahmaputra-Jamuna, Meghna, Surma, Bhersa, Dahuk, Dharla, Dudhkumar, Ilish, Karotao, Mahananda, Maine, Punurvaba, Teesta, Tetulia river",2017,8,10,2017,8,31,144,,8000000,,8000000,,,,,500000,621537,80.44577926,"[{""adm2_code"":5768,""adm2_name"":""Brahamanbaria""},{""adm2_code"":5769,""adm2_name"":""Chandpur""},{""adm2_code"":5771,""adm2_name"":""Comilla""},{""adm2_code"":5777,""adm2_name"":""Rangamati""},{""adm2_code"":5778,""adm2_name"":""Dhaka""},{""adm2_code"":5779,""adm2_name"":""Faridpur""},{""adm2_code"":5782,""adm2_name"":""Jamalpur""},{""adm2_code"":5784,""adm2_name"":""Madaripur""},{""adm2_code"":5785,""adm2_name"":""Manikganj""},{""adm2_code"":5786,""adm2_name"":""Munshiganj""},{""adm2_code"":5787,""adm2_name"":""Mymensingh""},{""adm2_code"":5791,""adm2_name"":""Rajbari""},{""adm2_code"":5794,""adm2_name"":""Tangail""},{""adm2_code"":5797,""adm2_name"":""Jessore""},{""adm2_code"":5822,""adm2_name"":""Maulvibazar""},{""adm2_code"":5823,""adm2_name"":""Sunamganj""},{""adm2_code"":5824,""adm2_name"":""Sylhet""},{""adm2_code"":5805,""adm2_name"":""Bogra""},{""adm2_code"":5808,""adm2_name"":""Joypurhat""},{""adm2_code"":5811,""adm2_name"":""Naogaon""},{""adm2_code"":5812,""adm2_name"":""Natore""},{""adm2_code"":5813,""adm2_name"":""Nawabganj""},{""adm2_code"":5817,""adm2_name"":""Rajshahi""},{""adm2_code"":5819,""adm2_name"":""Sirajganj""},{""adm2_code"":5806,""adm2_name"":""Dinajpur""},{""adm2_code"":5807,""adm2_name"":""Gaibandha""},{""adm2_code"":5809,""adm2_name"":""Kurigram""},{""adm2_code"":5810,""adm2_name"":""Lalmonirhat""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""},{""adm2_code"":5816,""adm2_name"":""Panchagarh""},{""adm2_code"":5818,""adm2_name"":""Rangpur""},{""adm2_code"":5820,""adm2_name"":""Thakurgaon""}]",2017-08-18,2023-09-25
2018-0158-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4617,,BGD,Bangladesh,Southern Asia,Asia,,Torrential Rain,,No,No,No,,3882.39,Km2,23.226,92.13,,2018,5,20,2018,5,22,21,,14000,,14000,,,,,,,82.41066796,,2018-05-23,2023-09-25
2018-0203-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BGD,Bangladesh,Southern Asia,Asia,"Cox’s Bazar,Rangamati",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2018,6,5,2018,6,14,14,,,,,,,,,,,82.41066796,"[{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""},{""adm2_code"":5777,""adm2_name"":""Rangamati""}]",2018-07-19,2023-09-25
2019-0337-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2019-000079,,BGD,Bangladesh,Southern Asia,Asia,"Kurigram, Gaibandha, Lalmonirhat, Chattogram, Bandarban, Rangamati, Sylhet, Sunamganj, Bogura, Nilphamari, Khagrachari, Cox’s Bazar, Feni, Netrokona, Sirajganj, Jamalpur, Tangail, Moulavibazar, Habiganj, Sherpur, Brahmanbaria, Chandpur, Faridpur, Madaripur, Manikganj, Munshiganj, Rajbari, Shariatpur districts",Monsoon rains,"Lightening|Slide (land, mud, snow, rock)",Yes,No,No,,,Km2,,,"Brahmapoutre, Jamuna and Tista rivers",2019,6,,2019,7,28,114,,7600000,,7600000,,,,,75000,89388,83.90417006,"[{""adm2_code"":5768,""adm2_name"":""Brahamanbaria""},{""adm2_code"":5769,""adm2_name"":""Chandpur""},{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""},{""adm2_code"":5773,""adm2_name"":""Feni""},{""adm2_code"":5774,""adm2_name"":""Khagrachhari""},{""adm2_code"":5779,""adm2_name"":""Faridpur""},{""adm2_code"":5782,""adm2_name"":""Jamalpur""},{""adm2_code"":5784,""adm2_name"":""Madaripur""},{""adm2_code"":5785,""adm2_name"":""Manikganj""},{""adm2_code"":5786,""adm2_name"":""Munshiganj""},{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5791,""adm2_name"":""Rajbari""},{""adm2_code"":5792,""adm2_name"":""Shariatpur""},{""adm2_code"":5793,""adm2_name"":""Sherpur""},{""adm2_code"":5794,""adm2_name"":""Tangail""},{""adm2_code"":5821,""adm2_name"":""Habiganj""},{""adm2_code"":5822,""adm2_name"":""Maulvibazar""},{""adm2_code"":5823,""adm2_name"":""Sunamganj""},{""adm2_code"":5805,""adm2_name"":""Bogra""},{""adm2_code"":5819,""adm2_name"":""Sirajganj""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""}]",2019-07-15,2023-09-25
2020-0323-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2020-000166,,BGD,Bangladesh,Southern Asia,Asia,"Jamalpur, Kurigram, Gaibandha, Tangail, Sylhet, Sirajganj, Bogura, Sunamganj, Sherpur, Netrokona, Lalmonirhat, Moulovi Bazar, Faridpur, Manikganj, Nilphamari Chapai Nawabganj, Rajbari and Kushtia",Monsoonal rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2020,6,15,2020,9,30,257,,5448271,,5448271,,,,,500000,588656,84.93919813,"[{""adm1_code"":580,""adm1_name"":""Sylhet""},{""adm2_code"":5779,""adm2_name"":""Faridpur""},{""adm2_code"":5782,""adm2_name"":""Jamalpur""},{""adm2_code"":5785,""adm2_name"":""Manikganj""},{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5791,""adm2_name"":""Rajbari""},{""adm2_code"":5793,""adm2_name"":""Sherpur""},{""adm2_code"":5794,""adm2_name"":""Tangail""},{""adm2_code"":5800,""adm2_name"":""Kushtia""},{""adm2_code"":5805,""adm2_name"":""Bogra""},{""adm2_code"":5819,""adm2_name"":""Sirajganj""},{""adm2_code"":5807,""adm2_name"":""Gaibandha""},{""adm2_code"":5809,""adm2_name"":""Kurigram""},{""adm2_code"":5810,""adm2_name"":""Lalmonirhat""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""}]",2020-08-10,2023-09-25
2021-0455-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:5106,,BGD,Bangladesh,Southern Asia,Asia,Cox’s Bazar,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2021,7,27,2021,8,3,21,,268744,,268744,,,,,,,88.92949348,"[{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""}]",2021-07-29,2023-09-25
2022-0340-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2022-000217,,BGD,Bangladesh,Southern Asia,Asia,"Shariatpur & Madaripur districts ; Kurigram, Gaibandha, Lalmonirhat, Nilphamari, Bogra, Jamalpur, and Sirajganj (Sylhet division); Zakigonj, Gowainghat, Jaintapur, Companiganj, Kurigram, Gaibandha, Rangpur, Lalmonirhat, Nilphamari, Bogra, Jamalpur, SirajganjDistricts (Sylhet Division); Sunamganj",Heavy rains,,No,No,No,,,Km2,,,,2022,5,17,2022,9,30,141,,7200000,,7200000,,,,,462500,481538,96.04634213,,2022-06-28,2023-09-26
2023-0512-BGD,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,BGD,Bangladesh,Southern Asia,Asia,"Chattogram, Cox’s Bazar, Bandarban, Rangamati, and Feni (Chattogram Division); Chittagong, Bandarban, Rangamati,",Heavy rain,,No,No,No,,,Km2,,,,2023,8,7,2023,8,13,4,6,1000000,,1000006,,,,,,,100,,2023-08-09,2024-03-05
2024-0399-BGD,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FF-2024-000100|GLIDE:FF-2024-000154,,BGD,Bangladesh,Southern Asia,Asia,"Sylhet, Sunamganj, Netrokona, Moulvibazar, Habiganj, Rangpur, Jamalpur, Gaibandha, Feni, Rangamati, Bogra, Kurigram, Sirajganj, Lalmonirhat, Tangail, Cox’s Bazar, Bogura, Munshigan, Khagrachari, Bandarban","Monsoon rain, upstream flow","Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2024,5,29,2024,7,8,15,,5130000,,5130000,,,,,34000,,,,2024-06-21,2025-04-01
2024-0624-BGD,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,BGD,Bangladesh,Southern Asia,Asia,"Lakshmipur, Cumilla, Feni, and Noakhali districts",Heavy monsoon rains,,No,No,No,,,Km2,,,,2024,8,19,2024,9,3,71,,5820000,,5820000,,,,,155600,,,,2024-08-22,2025-04-01
2024-0719-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BGD,Bangladesh,Southern Asia,Asia,Sherpur district (Mymensingh and Sindh divisions),Heavy rains,,No,No,No,,,Km2,,,,2024,10,5,2024,10,10,10,,238931,,238931,,,,,,,,,2024-10-09,2024-10-28
